;Country or dependency;Density/km2;Density/mi2;Population;Area/km2;Area/mi2
;;;;;;
0; Monaco;18;47;36,298;2.0;0.77
2; Singapore;8,25;21,4;6,014,723;729;281
3; Bahrain;1,91;4,9;1,485,510;778;300
4; Maldives;1,75;4,5;523,787;300;120
5; Malta;1,7;4,4;535,065;315;122
6;  Vatican City;1,6;4,1;764;0.49;0.19
7; Bangladesh;1,165;3,02;172,954,319;148,46;57,32
8; Palestine;892;2,31;5,371,230;6,02;2,32
9; Taiwan;676;1,75;23,923,277;35,41;13,67
10; Mauritius;657;1,7;1,300,557;1,979;764
11; Barbados;654;1,69;281,996;431;166
12; Nauru;610;1,6;12,78;21;8.1
13; San Marino;550;1,4;33,642;61;24
14; Rwanda;535;1,39;14,094,683;26,338;10,169
15; South Korea;516;1,34;51,784,059;100,413;38,77
16; Lebanon;512;1,33;5,353,930;10,452;4,036
17; Burundi;476;1,23;13,238,559;27,834;10,747
18; Tuvalu;440;1,1;11,396;26;10
19; India;435;1,13;1,428,627,663;3,287,263;1,269,219
20; Netherlands;424;1,1;17,618,299;41,543;16,04
21; Haiti;423;1,1;11,724,764;27,75;10,71
22; Israel;416;1,08;9,174,520;22,072;8,522
23; Philippines;391;1,01;117,337,368;300;120
24; Belgium;383;990;11,686,140;30,528;11,787
25; Comoros;381;990;852,075;2,235;863
26; Grenada;366;950;126,184;345;133
27; Sri Lanka;334;870;21,893,579;65,61;25,33
28; Japan;326;840;123,294,513;377,93;145,92
29; El Salvador;303;780;6,364,943;21,041;8,124
30; Pakistan;302;780;240,485,658;796,095;307,374
31; Trinidad and Tobago;299;770;1,534,937;5,127;1,98
32; Vietnam;298;770;98,858,950;331,34;127,93
33; Saint Lucia;293;760;180,251;616;238
34; United Kingdom;277;720;67,736,802;244,376;94,354
35; Saint Vincent and the Grenadines;267;690;103,699;389;150
36; Jamaica;257;670;2,825,544;10,991;4,244
37; Luxembourg;253;660;654,768;2,586;998
38; Liechtenstein;247;640;39,585;160;62
39; Gambia;246;640;2,773,168;11,295;4,361
40; Nigeria;242;630;223,804,632;923,768;356,669
41; Kuwait;242;630;4,310,108;17,818;6,88
42; São Tomé and Príncipe;241;620;231,856;964;372
43; Seychelles;236;610;107,66;457;176
44; Qatar;233;600;2,716,391;11,637;4,493
45; Germany;233;600;83,294,633;357,581;138,063
46; Dominican Republic;233;600;11,332,973;48,671;18,792
47; Marshall Islands;232;600;41,996;181;70
48; Malawi;221;570;20,931,751;94,552;36,507
49; North Korea;217;560;26,160,822;120,538;46,54
50; Antigua and Barbuda;213;550;94,298;442;171
51;  Switzerland;213;550;8,796,669;41,291;15,943
52;   Nepal;210;540;30,896,590;147,181;56,827
53; Uganda;201;520;48,582,334;241,55;93,26
54; Italy;195;510;58,870,763;302,068;116,629
55; Kiribati;184;480;133,515;726;280
56; Saint Kitts and Nevis;183;470;47,755;261;101
57; Andorra;171;440;80,088;468;181
58; Guatemala;166;430;18,092,026;108,889;42,042
59; Micronesia;164;420;115,224;702;271
60; Togo;159;410;9,053,799;56,785;21,925
61; Kosovo;153;400;1,663,595;10,905;4,21
62; China;149;390;1,425,671,352;9,600,000;3,700,000
63; Cape Verde;148;380;598,682;4,033;1,557
64; Indonesia;145;380;277,534,123;1,910,931;737,815
65; Tonga;144;370;107,773;747;288
66; Ghana;143;370;34,121,985;238,537;92,1
67; Thailand;140;360;71,801,279;513,14;198,12
